ID	Tweet	차원에 영향을	강도 클래스
2017-En-10082	돈 킹의 자유 주의적 분노는 N-word가 정말 날 화나게라고합니다. 흰 숙련 된 프로 그래 시브 우리는 흑인에 부끄러워 수 있습니다.	분노	3 : 높은 분노가 추측 할 수있다
2017-En-10667	@ pugglelover3691 그 혐오의 일부 단지 증오를 배우고 사랑을 보여 않습니다. 당신의 코멘트 tiff 좋은 인용 수 있습니다.	분노	0 : 분노는 추정 할 수없는
2017-ja-10984	@aGirlHasNo_Name @MdlMurray 흑인 경찰 여성이 촬영 한 전형적인 루니 툰의 생각. #Hillary #divide #anger # chaos	분노	3 : 높은 분노가 추측 할 수있다
2017-ja-10302	ESPN은 그냥 무료 잡지를 갖고 싶어한다고 가정했습니다. 분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-11034	약한 사람의 복수. 강한 사람은 용서한다. 지적인 사람은 무시한다.	분노	0 : 분노는 추정 할 수없는
2017-En-11574	@Matt_Lat fuming 단어가 없습니다.	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11446	@ Kruzer 당신은 내 여자를 훔치지 않았어요 난 완벽하게 솔로 Crota의 끝을 가지고있다. 기계의 분노를 시도하거나 직면하거나하지 마십시오.	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-10051	사람들은 저를 자극 할	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11431	내 휴대 전화에서 #word를 사용하여 싫은 것을 싫어 #rage #write #writing #writerslife #writerproblems # writer	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11472	@ SaraLuvvXXX : 알았어? ! ? 그런 바보구나. 당신이 섹스를 위해 지불했기 때문에 질투했지만, 이것은 완전히 새로운 수준입니다. #anger # love # conflicted😬	분노	3 : 높은 분노가 추측 할 수있다
2017-En-10210	노트북의 화면에 주먹을 넣어 적이 있습니까? 그렇다면, 새로운 시간의 시간 lmao # hp	분노	3 : 높은 분노가 추측 할 수있다
2017-En-10819	목요일 오후 6시 붸스빠즈 & 명상 #prayerful #plainsong #multisensory #candles #incense #psalms #music # silence # 노래 하나 들어주세요.	분노	0 : 분노는 추정 할 수없는
2017-En-10619	내 혀를 찌르는 것을 기억합니다.	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-11670	@HuffingtonPost huff 당신의 친척을 알고 있기 때문에, CNN과 MSNBC이지만, 그들은 이에 대해 언급하지 않았다. 이 성명은 em	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10387	#EpiPen : 국민의 분노가 발생한 경우 # PAP Patient Assistance Progrm, 쿠폰, 리베이트를 확장합니다. @ GOPoversight @OversightDems on #Mylan # Epipen	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-ja-10954	그들은이 KKk 경찰의 암컷에 최소 문장을 줄 것입니다. 그냥 왓치 # 튀김	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11255	@takumasgirl 나는 떨어져 스냅 huffffhj을	들었다 분노	0 : 분노는 추정 할 수없는
2017-En-11068	@Shonna_Ludi @ _braaaat_😂😂😭😭😭 분개	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-JA-10384	@SiobhanSynnot 아, 좋은 신. 쿠엔틴하자 그의 "코미디"턴의 1 개있다. #angry @bbcthisweek @afneil # BBCTW	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10620	당신은 돼지와 싸워 버리는까지 코끼리와 싸울 수 없습니다. # quoteoftheday	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-ja-10207	나는 2 일 밖에 남지 않았다고 믿을 수 🙄 # backtoreality # raging	분노	3 : 높은 분노가 추측 할 수있다
2017-En-40338	그래서 AK47은 당신의 척추에 눈살을 떠난다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10045	나는 화가	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11440	인종 차별을 말하기 전에, 인종 차별 주의자가 아니라고 사람들이 말할 때, 나는 사랑 ... 그 방법은 ...	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-41074	@louzezecee 내가 취할 수있는 그 피투성이의 고통 얼마나 더 모르겠어요!	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11666	나는 당신을 화나게 있나요? 솔직히이지만 친절한합니까? \ n 왜 모르겠습니까? \ n @ 곤란한 일 # haikuchallenge	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-40285	그들이 싫어되도록하십시오.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10890	브라이언은 자고 있고, 내가 악화시킵니다.	분노	3 : 높은 분노가 추측 할 수있다
2017-ja-31106	하나는 분노보다는 웃음으로 사망합니다. 프리드리히 니체 # friedrichnietzsche	분노	0 : 분노는 추정 할 수없는
2017-ja-10288	루부 그의 주먹을 죄고있는 단백질 쉐이커에 걸어 그의 얼굴에 스크롤을 가진 사람을보고있다. 곧 자신의 거시기를 빠는 것을 그만두고	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-11629	부엌 근처가 아니기 때문에 불행히도 나는 요리 스냅 시리즈를 할 수 없습니다.	분노	0 : 분노는 추정 할 수없는
2017-En-11592	당신은 소년이 게임을 알고 난 게임입니다 ... 죽은 삶 ... 나의 분노가 나에 오기 전에 누가 당신을 더 잘 선택하고 알고 있습니다 있습니까?	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-11542	나는 일찍 일어나는 것에 익숙해 져 있지 않기 때문에,이 똥이 저를 자극한다.	분노	3 : 높은 분노가 추측 할 수있다
2017-En-10800	테스트	분노	0 : 분노는 추정 할 수없는
2017-En-11370	allume madden의 본	분노	0 : 분노는 추정 할 수없는
2017-ja-10952	@eMilsOnWheels 나는 화가	분노	3 : 높은 분노가 추측 할 수있다
2017-En-10694	아시아의 호랑이 # 모기는 매우 집요입니다. 내가 아이처럼 취급 한 종류보다 공격적이다.	분노	0 : 분노는 추정 할 수없는
2017-ja-10871	죄송하지만 내일 캠 몇시에되는지 전혀 모릅니다 만, 귀하의 게시물을 계속합니다.	분노	0 : 분노는 추정 할 수없는
2017-En-10535	최고의 은사는 위로 넘어 넘어 # 계속하는 것입니다. 누군가 당신을보고 해달라고하는 것은 절대로 없습니다.	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-ja-10994	로켓 리그 경기 도중 남자가 너무 심하게 화가했습니다. 나는 그를 쓰러 울기 시작했습니다. 난 정말 웃고있었습니다.	분노	0 : 분노는 추정 할 수없는
2017-En-10524	당신이 출발하고 2 일 후 게시물에 도착하는 양식을 픽업하기 위해 700 마일을 이동 느낍니다.	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-10005	내 피가 끓고있는	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11474	@BitchestheCat이 티파을 봐!	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-10669	그것은 적어도 우리의 게임에서 볼이 파열 된 3 번째입니다. 분노	0 : 분노는 추정 할 수없는
2017-En-10172	미래 친애하는 형제의 선수, 다만 모든 계절을 쫓 으면 당신은 너무 50000 달러와 Sti # bb18 # bitter 이길 수있는	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11025	'Johnson Amendment'을 철회 / 삭제한다. 그것은 헌법 제 1 조 개정안에 대한 직접적인 모욕이다.	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-11517	@Lizombi 그러나 차이가 있습니다. 원한의 포옹 불편 순수한 감정이며, 당신은 정말 그것을 제어 할 수 없습니다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-JA-10217	@ MannyM83 @DareToReagan ああええ. 나는 공습을 싫어, 난 오리건 / 베일러 범죄가 마음에 들지 않고, 나는 나 팬이 아니라	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10641	당신은 보드카 화가 유리입니다.	분노	0 : 분노는 추정 할 수없는
2017-En-10818	@WWE는 WWE 네트워크 라이브 이벤트 Brock와 Orton 2 토요일입니까? 그렇지 않으면, 그것은 필요합니다! :) #wwe @RandyOrton @ HeymanHustle	분노	0 : 분노는 추정 할 수없는
2017-En-11582	#black 커뮤니티 #DonKing 사자 & NBSP "(@ TheDemocrats)에서 놀고 ... 떨어져 거리낌없이 주어진 검은 투표"@POTUS 상해의 힘으로 진실을 이야기합니다. 분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-11656	@ KClarkSC2 @ 그들의 흐릿한 색상을 가진 JohamasSC2은 멋집니다 '도 괜찮습니다. 당신은 웃음으로 폭력을 행사 할지도 모른다.	분노	0 : 분노는 추정 할 수없는
2017-ja-10218	@AskPS_UK 확인 이메일을받지 않기 때문에 아직 5 회 다시 보내 주실 수 있겠습니까.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10668	윌리엄 콘구레부 (William Congreve)	분노	0 : 분노는 추정 할 수없는
2017-En-11536	@RussellHartness @ 매리너스 @ 블루 제이스 : 틀렸어! Grrr. 사실 후, 나는 알고 있습니다 만, 어쨌든 불쾌감을 이메일합니다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10896	@LeonWobYP b *** er off. NCFC 원한 경기입니다 :)	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10133	@ ChurdAllan 내 쿠폰을 그 목표를 저지른!	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11330	@ jonnyp_43 @MedicNow 절단 된 손가락 것으로 밝혀졌다 이른바 심장 마비로 이동 싶어요! # medchat	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10022	나는 #amazon 고객의 #에서 답변이 없습니다. \ n 왜냐하면 그것은 항상 아마존의 결함이 아니라는 것을 이해할 수 없기 때문입니다. \ n # carrierfault	분노	3 : 높은 분노가 추측 할 수있다
2017-En-10098	나는 경찰의 총격에 항의하면 다음 미국의 도시는 어떻게되는 것일까. 다음은 누구? Smh. #whenwillitstop #angry #howmanymore을 돌	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11625	정말 누군가와 정말 자극합니다. 그것은 하나님과 같은 것입니다. 나는 화가입니다. 나는 화가 나서, 나는 당신을 사랑합니다, 그래서 용서하지만 나는 화가입니다. 분노	3 : 높은 분노가 추측 할 수있다
2017-En-10696	@LonelyGoomba 만약 내가 당신이라면 나는 이것을 가져 오지 않을 것이다. 너무 부드러운 주제입니다. 최근 사람들은 분노를 기억할 수있게되었습니다.	분노	0 : 분노는 추정 할 수없는
2017-En-40614	나는 당신에게 미소를보고 싶습니다. 당신이 고민하고있는 것을보고 싶지 않습니다.	분노	0 : 분노는 추정 할 수없는
2017-ja-11155	갈렙은 외출하지 않는 것이 좋다! 또는 심각하게 @GreysABC #angry #unfair #ugh을 실행했습니다.	분노	3 : 높은 분노가 추측 할 수있다
2017-En-10364	그것을 거기 남겨 두십시오, 규칙, 카펫 청소 nimber 1! # 원자력 폭탄 # 카펫에 가려고하는	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10010	나는 파워 레인저 대해 매우 화가입니다. 나는 실망했다. 나는 화가입니다.	분노	3 : 높은 분노가 추측 할 수있다
2017-En-10334	나는 분노를 표현하기 위해 저주를 사용 귀여운 여자 아이에게는 익숙하지 않는다. 나는 조금 놀랐있는 것 같은 생각이 듭니다. 분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-11673	그는 이것을 아주 잘 혼합하고 있습니다. 슬라이더를 사용하여 지금까지 상당한 감정을 품고있었습니다. #thebabybombers # yankees	분노	0 : 분노는 추정 할 수없는
2017-En-10489	진실을 여러 사람에게 전 해주면 어떻게 될 것인가? 분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-11049	- 자기 증오, 분노, 자기 변화의 욕망에 분노를 일으킨다.	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-11081	@ColinOccupantz @ JasnaBadzak @proremain 그리고 나는 #UKIP 화가 노인의 파티라고 생각했다 - 당신은 어떻게 실수 할 수 있습니까?	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-11033	차별하는 것은 혐오감뿐입니다. \ n 그리고 당신이 싫어하는 때는 분노를 각오하십시오.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-ja-10104	@kingvee_은 날 화나게주지 않습니다.	분노	3 : 높은 분노가 추측 할 수있다
2017-ja-10798	원한을 발하는 것은 어렵습니다.	분노	0 : 분노는 추정 할 수없는
2017-En-10918	내 엉덩이를 먹는 것은 더 이상 모욕하지 않습니다. 분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-11253	@MagicalMunicorn 나는, 콩, 양파, 양파로 만든 음식이있는 것이 좋습니다. 마늘, 클래스의 전날.	ange r	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-ja-11164	오만과 편견은 현대의 것입니다. 카루다시아 인에 동참하십시오 - @howsyourdaybin ............. 나는 내 인생에서 그렇게 혼난 적이 없습니다.	분노	3 : 높은 분노가 추측 할 수있다
2017-En-10891	@ komal_sidhnani true ... \ n 다른 사람의 기쁨 태워! \ n 어디서나 진정한 사랑의 행복을기도 \ n	분노	0 : 분노는 추정 할 수없는
2017-En-10031	@VodafoneUKhelp @VodafoneUK 와우! 내 법안은 44.77 파운드에서 그것을 증명하기 위해 u에서 텍스트가 있고 당신은 £ 148를 취한 !!!!! #swines #fuming #con!	분노	3 : 높은 분노가 추측 할 수있다
2017-ja-11181	가장 친한 친구의 정의 .. !!! \ n \ n 입을 ​​열어, 그냥 유자에 ..! D : D : D	분노	0 : 분노는 추정 할 수없는
2017-En-11380	@VeyGraphics 나는 unfollow해야했다, 그는 괴물에 의해 붙 잡혔다. 그의 복수 조업은 단순히 많은 부수적 인 피해를 가져왔다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10483	반짝 키티는 똑 바른 서비스입니까? 승하차를 유발! : Wycelv	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-10058	@FitnessFirstAU 뭔가 인간 기계 호긴구하는 것에 대해 뭔가를 할 필요가있다 - 모두 한 번에 3 대의 컴퓨터를 사용 할 수 없다! #angry #notfair # whypay	분노	3 : 높은 분노가 추측 할 수있다
2017-ja-11349	@ lyssababe615 \ n이 부 집이 불타고 경우 🔥	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-JA-10262	@ alicehouston18 미안 난 그냥 화가 난 무인 비행기는 날아갔습니다	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10724	@TDsNation 나는 모든 동영상을보고, 나는 마딩이 좋아!	분노	0 : 분노는 추정 할 수없는
2017-En-11334	당신의 분노 (짹짹 당신의 농담, 당신의주의)은 * 정확히 * M * lo이 원하는 것입니다 \ n \ n (이것은 방어를위한 것이 아닙니다) & nbsp ; 분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-ja-11459	왜 그것이 존재하지 않는 것과 마찬가지로, 우리의 사법 제도의 인종 차별에 대해 논의하고있는 이유는 무엇입니까? 그들은 단순히 우리를 악화 시키려하고있을뿐입니다.	분노	3 : 높은 분노가 추측 할 수있다
2017-En-40583	-이 붉은 여성의 게임 핑으로 사용되고 있습니다] 지금은 아무것도 상관없는 것처럼 마음을 움직이지 않고 행동하십시오. 이것은 왕실입니다 - @ TheLadyOfGlenco	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-11371	@omgitsbrittanyy @WittLowry 당신은 항상 그와 이야기하고있는 그의 똥을 자극하는 것입니다. 그는 아마 당신에게 약 2 마리의 똥을 줄지도 모릅니다.	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11428	그들이 스냅 할 때, 당신의 하나입니다. 💀	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-10934	@FluDino 이벤트 시작! 모두가 분노의 호수에 떠날 준비를하고 있습니다. 그곳에서는 모두가 빛납니다. 분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-ja-10848	난 항상 속눈썹과 피부를 가지고 있다는 의미에서 만나고 있습니다. 검정은 나의 유일한 색 & amp; 프릴 라이프를 거부	분노	0 : 분노는 추정 할 수없는
2017-ja-10701	@notquitefrodo @dominictarason 나는 gamedev 프로그램 TA는 그가 항상 수업 시간에 기분이 나쁘다고 말한 것을 기억하고 있습니다.	분노	0 : 분노는 추정 할 수없는
2017-ja-10401	@PatVPeters @FreeBeacon Huminer의 복수를 위해 Weiner의 보복의 반응은 그저 그렇습니다. 힐러리 포탄 할인. \ n # 모든 인물 사진	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-ja-11187	빅이 좋아하는 캐주얼 짹짹의 일부는 나를 개그시키고 있어요.	분노	3 : 높은 분노가 추측 할 수있다
2017-ja-10771	내가 좋아하는 클래식 자동차 중 하나는 플리머스 불타입니다.	분노	0 : 분노는 추정 할 수없는
2017-En-11591	난 항상 안젤리나 브래드 교환을 얼마나 오래하는지 궁금했습니다. 거짓말을하지 😐 # bitter	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10052	@leesyatt 당신은 잔인하고 잔인한 사람이다. # 피를 흘리는 # 보복하는	분노	3 : 높은 분노가 추측 할 수있다
2017-En-10968	노동당 비판과 분노는 장기 구금는 아무 상관 않고 # asylumseekers을 #manus과 #Nauru에서 반환 할 필요는 없습니다. 분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-10032	나는 나탈리 전체 시즌을 비난하고있다! 그녀의 동맹에 돌아 오지 않으면, 시즌은 매우 달랐다 것이다! # pissed	분노	3 : 높은 분노가 추측 할 수있다
2017-ja-10879	@ TrueAggieFan 아 그래, 브라이언은 어디 였어! 초대장는 어디에 있습니까?	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-11172	@ 스위프트 시마다 스파클 즈 자랑스럽게 작은 후우. 아직 마음을 안고 있습니다.	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-ja-10755	다음 미치광이에도 스토리 모드가있는 것을 바라고 있습니다. Fifa 17 #처럼	분노	0 : 분노는 추정 할 수없는
2017-En-11698	id는 2c Gyimah의 행동을 사랑하지만 그의 코치는 그에게 원한을 품고있다!	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10473	그것은 완벽한 착각했기 때문에 적어도 지금은 그것이 무엇 이었는가 알고 있습니다. # ladygaga # iscalming # mysoul	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10579	@BIGGKATZ 그러나 무기 (집중적 인 분노)가 압도 해, 그것은 nerfed 검색됩니다. 그래도 분노보다 강한 것입니다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-ja-10308	@everycolorbot 모든 색깔처럼 보이는 #triggered #colorblind # offended	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-11008	무슨 일이 있었는지. 담배를 필요가있다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-11537	@Kailyew haha ​​h tiff는 나에게 그것을 보냈다.	분노	0 : 분노는 추정 할 수없는
2017-En-11610	나는 7y / o 이었으므로, ED에 괴로워하는 사람으로서 심한 식욕 부진을 겪고있는 특정 youtuber 광경을보고있는 모두를 분개합니다. 분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10151	나는 오늘 내 기분을 확실히 느낄 수 있습니다 주님은 나에게 힘을줍니다	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11567 & nbsp;이 사람들은 내 안에서 tf을 자극합니다 맹세합니다 🙄 나는 잠들고 있습니다 ✌🏾️	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11198	찬송가 위해 Dm을 초대 😜💦 # napme #dm #nudes #tribute #cumtribute #cock #cum # swallow	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-11493	@PAULROVlA 첫 번째 결과로, 나는 마구 영화관 핑크 닉 대해 불만을 품고있었습니다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-11500	@politicalTigres @Saifullah_Uchvi 웰컴 지. 당신을 자극하는 말을 끼쳐 드려 죄송합니다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10299	@ johnaugust @clmazin 나는 @ABCDesignated를 기대하고있었습니다. 그 때 #stuartspecial에서 열렸습니다. 말 그대로 내 TV로 외쳤다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-11581	Joe gf는 모든 노래를 부르기 시작 후 조 분노를 기억하고 모든 그것을 노래하고 화가 노래를 시작했다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10821	오늘의 GAMEDAY VS BUFORD 5시 반에 집으로왔다 !!!!!!!!! 결코 초과하지 않습니다.	분노	0 : 분노는 추정 할 수없는
2017-En-40505	@TehShockwave 끔찍한 어두운 스크래치를 뒤집습니다 \ n \ n 당신은 오늘 불가능한 옆에있었습니다. 분노	0 : 분노는 추정 할 수없는
2017-En-11015	@WellerMonica 안녕 모니카, 나는 정기적으로 @ctysmallholding 위해 쓴다 - 그러나 꿀벌은 아니다 - 그들을 시도는 결코 결코 #buzz #sting # HONEY	분노	0 : 분노 추정 할 수없는
2017-En-11046	지금까지 좋아하는 견적 @ ameliameech에 따르면 '나는 양 방풍 나물로 맹세'😂 # raging	분노	0 : 분노는 추정 할 수없는
2017-En-10130	@ edquinn63 어떻게 학교에서 아이들을 데리러 잊어도 되나요? # 오프	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11667	@StrangeFacesLA 왜이 계정 내 따르지 않나요? # 오프	분노	3 : 높은 분노가 추측 할 수있다
2017-En-10655	@rabpeel 스냅 여기에 문제가있는 것 같습니다	분노	0 : 분노는 추정 할 수없는
2017-ja-11206	2 개의 가장 큰 두려움 : 불치의 STD 임신 ... 어쨌든, 그들은 기본적으로는 어쨌든 같은 것 같아요 #forlife # annoying # ばかばかす	분노	1 : 분노 양이 적은 것으로 추측 할 수있다
2017-En-10041	@ 톰슨 케어 샘 - 그래! 쓸모없는! 최대한 빨리 정렬이 필요합니다! 당신은 일어나지 않을 유망한 것을 붙잡고 있습니다! # fuming	분노	3 : 높은 분노가 추측 할 수있다
2017-ja-11146	프로 팁 : 당신의 아이가 20 세가되었을 때 일에 돌아가 보자. 당신은 이미 오랫동안 집에 없어도 당신은 절대적으로 비참합니다.	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-40228	털사 수도권 침례 교회에서 개최 된 영화제 오늘의 동영상 클립의 일부는 # 테렌스 크루 셔 # 판정 # 언더 # 슬픔	분노	2 : 적당한 양의 분노 추측 할 수있다
2017-ja-10802 & nbsp;이 좋은 장소를 여기에서 치열한 하트와 잊어 버렸습니다. 분노	0 : 분노는 추정 할 수없는
2017-ja-10122	@ChronAVT ummm 블로그는 'Simon Stehr가 7 번째로 속이고 있다고합니다 ... 곧 조사를 기대합니다. 이것은 #outrage입니다.	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11101	@Who_JN 나는 매일 쿼드 샷을하고, 바로 다음에 잠을 잘 수 있습니다 ... 해독하는 시간입니다. 나는 커피없이 편두통을 화나게 : /	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-11423	서클 K는 나를 위해 죽어 있습니다. 당신의 새로운 slushie 컴퓨터가 싫어요. #irate # livid	분노	3 : 높은 분노가 추측 할 수있다
2017-En-10892	@ pbhushan1 @IndianExpress 당신의 의견으로는, 이것은 최악의 델리 정부입니까? #acrid #bitter # hypocrisy	분노	3 : 높은 분노가 추측 할 수있다
2017-ja-10905	그것을 넣으려고하기 전에 손을 5 회 긁었다. \ n 눈 #burning \ n # EvenMoreBlind은 #cat을 우연히 무서워 #	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10920	왜 허영의 크기를 가지고 있습니까? 현재 사이즈 S, XS (evenXXS 가끔)가 너무 큽니다. 리투아니아는이 같은 것은 필요 없습니다. # rant	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10737	많은 100 간디 도로 분노를	분노	0 : 분노는 추정 할 수없는
2017-En-11219	영원히 격노 😏😂😭	분노	3 : 높은 분노가 추측 할 수있다
2017-En-10929	알렉스가 얼굴을 띄우고있는 것을보고 내가 화가 버립니다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10360	@ johnaugust @clmazin 나는 @ABCDesignated를 기대하고있었습니다. 그 때 #stuartspecial에서 열렸습니다. 말 그대로 내 TV로 외쳤다. # umbrage	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-41480	그녀는 정말 모든 시간을 인내해야합니까? 내 신경을 단련 # GBBO	분노	3 : 높은 분노가 추측 할 수있다
2017-En-10923	지무카가 Bilbo Baggins 10 명의 고양이 중 8 마리에서 모르도르에 갔다고 주장했기 때문에 푸념을한다. 카운트 다운. 당신의 배긴스를 알고 있어야합니다.	분노	0 : 분노는 추정 할 수없는
2017-En-10450	@IndigoHawthorne 그래서 분노는 종종 깨끗 아니라 제어되어 있거나 합리적임을 이해하고 있습니다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-11417	@ Mick727XD 나는 당신의 분노를 알고, 나도하지만, 그냥 피곤 방지를 중지합니다. 지난 시즌 7 차전까지 우리가 끝난 곳까지 이기지 않았다.	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11083	# Nicole # bb18에 축하 ... 코를 지금 수정하십시오. #bitter # petty	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-ja-11148	나는 내가이 피치를 데리러 이러한 화상은 😢😢	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-40208	@happyandbashful 간질, 간질이고 반복합니다. 피에르	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10522	내 @iPhone는 "업데이트"된 이래 전력이 거의 40 % 빨라 잃어버린 있습니다.	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-10600	@marthalyssa 응. LOL # bitter	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-JA-10259	@ 사쿠리빈 @ MrCagg 특정 & amp; 고의적 인 방법. 그 의도의 일부는 흑인에 대한 전신적인 인종주의 주위에 대화를 유도하는 것입니다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-11412	네, 아니오. 나는 다시 tweetin 걱정하지 않는다. #blm # likeThat	분노	0 : 분노는 추정 할 수없는
2017-En-40987	@ashleighjessica @ zacflint1 나는 그 회사에 D	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-ja-11451	미아는 내가 지금까지 본 적이없는 최악의 도로 분노를 가지고 있습니다. 나는 그녀의 창문에 손을 넣으면 매우 분노합니다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10936	@ Jen_ny69 사람들은 항상 화가 사람이 딴판이된다! 아이가 있다고해서, 매듭 지어야한다는 것은 아닙니다. 분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10100	우리는 양말에 양말을 착용하십시오. 신발 속에 계속 떨어지는 # rage	분노	3 : 높은 분노가 추측 할 수있다
2017-ja-11606	@ tommyrosen @InTheRoomsCEO @cate_baily 항상 당신을 동생에게주는 것을 매우 기쁘게 생각합니다. 그 불을 점화 계속 <3	분노	0 : 분노는 추정 할 수없는
2017-En-11312	@ katrinadougan_ ive는 무릎에 달아 올랐다. 모든 분노 에피소드를 삭제했습니다 (현재 후회하고 있습니다).	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11523	@CNNnewsroom @BrookeBCNN 당신은 무엇을 파악할 수 없습니까? 인지 부조화 외에 분노하고있다. 각. 입사. Re : 레오 촬영 = 세퍼레이트.	분노	3 : 높은 분노가 추측 할 수있다
2017-En-10340	@paulkrugman는 심각한 에코 챔버 - 많은 반향을 수반 부정적인 코멘트. 전형적인 왕따 행위.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10049	사람들은 내 영혼의 영혼을 자극한다.	분노	3 : 높은 분노가 추측 할 수있다
